Id,Label,Type,Occurrences Count,ID (type 1),Time Interval,Investments
company_84bc7eaa45ea2645f030a98e7866f34c,vodafone,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 2]>","<[2006.0, 2007.0, 483]; [2009.0, 2010.0, 484]>","<[2006.0, 2007.0]; [2009.0, 2010.0]>",
company_667d7490e62e6b942c28510460bc0f1a,vodafone finance,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 485]>","<[2009.0, 2010.0]>",
company_481e5f1f648dc3059de8b63478f66fb5,volkswagen financial services,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 486]>","<[2010.0, 2011.0]>",
company_2dda8284800eb328b87b7161c94104e2,vts,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 487]>","<[2010.0, 2011.0]>",
company_5a4a25f1d890d6b34f631723b7ac21f8,waalfin holding / we group,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 4]>","<[2008.0, 2009.0, 489); [2009.0, 2010.0, 490); [2010.0, 2011.0, 491 | 492]>","<[2008.0, 2009.0]; [2009.0, 2010.0]; [2010.0, 2011.0]>",
company_95580dd0c3aeaf7fd49fda41167f61f6,wall street institute (owned by carlyle group),"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 548]>","<[2009.0, 2010.0]>",
company_fcc6b131051cab966dd1e44b2cae066b,warner chilcott group,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 488]>","<[2009.0, 2010.0]>",
company_cd2899f7b0d65124d3c05cd0e85136b9,weather investments / hellas telecommunications / wind,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 2]>","<[2009.0, 2010.0, 493); [2010.0, 2011.0, 547]>","<[2009.0, 2010.0]; [2010.0, 2011.0]>",
company_f8f5c50313643c64e558572b739201d9,weather investments / orascom,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 494]>","<[2010.0, 2011.0]>",
company_54c9285b943a2e901b1fbc7e08563a1d,weatherford,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 2]>","<[2009.0, 2010.0, 495 | 496]>","<[2009.0, 2010.0]>",
company_aaec1c82ec5e6be900432963630adf88,wendel investissement,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 497]>","<[2010.0, 2011.0]>",
company_d084b20bca50741f25c4f4b0aa1fd305,westend,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 61]>","<[2009.0, 2010.0]>",
company_6faf3972bcd472b77d409c9760c5fcd0,wgz bank,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 498]>","<[2009.0, 2010.0]>",
company_138302b0827e3452c274b6239fed08bd,whatman,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 201]>","<[2009.0, 2010.0]>",
company_5e1c075cb448e21d853ad76712360c47,white mountains insurance group,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 6]>","<[2005.0, 2006.0, 500); [2006.0, 2007.0, 501]; [2009.0, 2010.0, 502 | 503 | 504); [2010.0, 2011.0, 499]>","<[2005.0, 2006.0]; [2006.0, 2007.0]; [2009.0, 2010.0]; [2010.0, 2011.0]>",
company_2236ab89726aa7c6c05a25f67a2a54d2,white mountains insurance group / sirius insurance holding,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 505]>","<[2009.0, 2010.0]>",
company_234162336dc6943d6612bb825adfaba7,wolseley,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 506]>","<[2009.0, 2010.0]>",
company_af2d91a08afd28170bcf7095ceff04c4,wynnchurch capital / safeworks,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2009.0, 2010.0, 507]>","<[2009.0, 2010.0]>",
company_63779dd4a078300a0b8745d05c114f08,x-rite holdings,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 508]>","<[2010.0, 2011.0]>",
company_cfbd35aa1960256cbdfaa7cff8732df5,yamana gold,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 1]>","<[2010.0, 2011.0, 509]>","<[2010.0, 2011.0]>",
company_4adcb535531536191bd098b29ed0a0e9,york capital management,"<[-Infinity, Infinity, Company]>","<[-Infinity, Infinity, 3]>","<[2006.0, 2007.0, 510]; [2010.0, 2011.0, 511 | 512]>","<[2006.0, 2007.0]; [2010.0, 2011.0]>",
