Skype (then owned by eBay / Silver Lake Partners),Skype,Ireland;Cayman Islands;Luxembourg,Tech
SOCFIN,SOCFIN,Luxembourg;Belgium;Congo;Kenya;Cameroon;Nigeria;Ivory Coast;Liberia;Cambodia;Indonesia;United Kingdom,Finance;Manufacturing
Atlantas,Societe D'administration Et De Gestion Atlantas SAGA,Switzerland;,Finance
Sportfive Group,Sportfive Group,France;Italy,Media
SR Technics,SR Technics,United Arab Emirates;Switzerland,Manufacturing;Travel
SRV,SRV,Finland;Russia;United Kingdom;United Kingdom (Guernsey);Cyprus,Manufacturing;Finance
Stabilus,Stabilus,Germany;United States,Manufacturing
STAPLES,STAPLES,United States;,Retail
STAR Capital Partners,STAR Capital Partners,United Kingdom;Sweden; Norway; Australia; Ireland;United States,Media;Travel
Starwood Capital Group,Starwood Capital,United States;Mexico,Finance
State Street Bank,State Street Group,United States;Germany,Finance
Sun Capital,Sun Capital,United States;,Finance
Swire Pacific,Swire Group,Hong Kong;United Kingdom,Finance
SYKES Enterprises,SYKES Enterprises,United States;El Salvador,Tech
Taylor Wimpey,Taylor Wimpey,United Kingdom;Iceland,Manufacturing
TDR Capital,TDR Capital,United Kingdom;,Finance
Tele Columbus,Tele Columbus,Germany;,Tech
Tele2 Group,Tele2 Group,Sweden;,Tech
Telecom Italia Group,Telecom Italia Group,Italy;Belgium,Tech
Telenet,Telenet,Belgium;Luxembourg,Tech
Temenos,Temenos Group,Switzerland;Hong Kong,Tech
Cephalon,TEVA Pharmaceutical Industries,United States;France;Bermuda,Health
The Heesen Family,The Heesen Family,Netherlands;,Finance
The Walt Disney Company,The Walt Disney Company,United States;France;Italy;Netherlands;Cayman Islands;United Kingdom;Poland;Austria;Australia;Belgium;Denmark;Hungary;Germany;Sweden;Switzerland,Media;Travel;Finance
Tiger Global Management,Tiger Global Management,Cayman Islands;Ireland;Estonia;Australia;Poland;Israel;Netherlands,Finance
Tiger Partners,Tiger Partners,United States;Spain;Netherlands;Czech Republic;British Virgin Islands,Finance
Timberland,Timberland,United States;Switzerland;Gibraltar;Cayman Islands;Dominican Republic,Retail
Enesco LLC / EGI,TINICUM,France;Canada;United States,Retail;Finance
Titan International,TITAN International,United States;Ireland,Manufacturing
TMD Friction,TMD Friction,Germany;Japan,Manufacturing
Tower 2008 Charitable Trust,Tower 2008 Charitable Trust,Netherlands;United Kingdom (Guernsey),Finance
Towerbrook Capital Partners,Towerbrook Capital Partners,United Kingdom;,Finance
Trafalgar Overseas,Trafalgar Overseas,United Kingdom;Gibraltar,Finance
Tyco Electronics,Tyco Group,Switzerland;Ireland,Tech
Tyco International,Tyco Group,United States;Australia;Ireland;Switzerland,Manufacturing;Tech
UBI Banca,UBI Banca,Italy;,Finance
UBM Group,UBM Group,United Kingdom;,Media
United Luxembourg Investments,UBM Group,United Kingdom;Ireland,Media
UBS,UBS,Switzerland;France,Finance
Unibanco União De Bancos Brasileiros,Unibanco Brazil (now Itaú Unibanco),Brazil;,Finance
Unibra,Unibra,Belgium;Guinea,Food;Finance
Unicorn Investment Bank (now Bank Alkhair B.S.C.),Unicorn Investment Bank,Bahrain;Turkey,Finance
Unicredit,Unicredit Group,Italy;,Finance
Union Bancaire Privee (UBP),Union Bancaire Privee (UBP),Switzerland,Finance
United America Indemnity,United America Indemnity (now Global Indemnity),Ireland;Cayman Islands,Finance
